,comments,date
82,$PANI manipulasi closing kasih bid tebal tapi di close offer. Setiap hr begitu wkwkwk,"7 Dec 22, 15:05"
83,$PANI arb in lg ngab..belum kenyang gw..mumpung dagangan starling ane lg rame nih,"7 Dec 22, 15:04"
84,"$PANI Senin 😭😭 Selasa 😭😭 Rabu 😭😭😭 bad day , Kamis gmna nie","7 Dec 22, 15:02"
85,"$PANI cuaca IHSG lagi jelek, gak cuma PANI yg kena impact, bahkan big caps lain pun ikut keseret. saya cuma cek bid offer PANI hari ini, ada freq besar melakukan pembelian di ARB. dan hari ini, candle nya pun hammer, so it's a good sign. semoga bsk udah closing diatas 1000 lagi.

saya cicil2 aja PANI, dari harga Supra X sampai entah sudah jadi berapa Supra X sekarang.","7 Dec 22, 15:02"
86,$PANI ayo kerekkkk,"7 Dec 22, 14:47"
87,$PANI sangat rindu dgn warna ijo pliss aguan,"7 Dec 22, 14:12"
88,$PANI kgak kejemput di arb dah...keburu naik,"7 Dec 22, 13:51"
89,"yg tadi TP / CL di 920-945 di $PANI gmn rasanya? klo TP pasti happy, klo CL? 🤣 yukk cobaa masuk lagi trs turun & CL lagi. 🤣","7 Dec 22, 13:34"
90,"$PANI sblm LK Q3 keluar, jangan harap naik tinggi harganya","7 Dec 22, 13:24"
91,"$IHSG selain gara2 $GOTO… IHSG sedang berduka buat lord rangga sunda empire kali nih…

$PANI $HRUM $INDY","7 Dec 22, 12:21"
92,$PANI tukang nasi goreng pengen ijo di Pani nie om aguan,"7 Dec 22, 12:06"
93,$PANI merah terus menunggu Ijo pekat,"7 Dec 22, 11:13"
94,Sempat bertemu dengan salah satu investor $PANI Untuk menunggu volume bawah ( foto kemarin )✌️,"7 Dec 22, 10:50"
95,"$PANI kalau jodoh, nanti kita ketemu lagi ya dibawah....","7 Dec 22, 10:42"
96,$PANI sya memutuskan untuk TP dan menunggu volume di harga bawah🙏✌️,"7 Dec 22, 10:27"
97,$PANI ap kabarnya ini ??,"7 Dec 22, 10:25"
98,$PANI sambil nunggu lk keluar,"7 Dec 22, 10:05"
99,$PANI 😭😭😭,"7 Dec 22, 10:01"
100,"@ipunk1989 iya $PANI offer hampir ga pernah tebel tapi bid bs saja habis tiba""","7 Dec 22, 09:58"
101,$PANI belanja lagi 3 juta di 920,"7 Dec 22, 09:56"
102,$PANI create double bottom target 1600,"7 Dec 22, 09:55"
103,"$PANI hadeuh Senin, Selasa, Rabu bad day belanja terus tiada henti","7 Dec 22, 09:49"
104,$PANI,"7 Dec 22, 09:42"
105,$PANI help 9 naga,"7 Dec 22, 09:32"
106,$PANI ini tiap pagi bisa ditebak......bid offer tipis......orang yang beli kemarinnya mau jual diatas gak ada yg makan jadi buang ke kiri......akhirnya turun tipis hampir tiap hari.....sampai ada rebound belasan persen.......,"7 Dec 22, 09:24"
107,$PANI pani ini harganya kyk gini krn org org ragu.krn laporan keuangan ngak keluar keluar.jd mrk tdk tahu ini saham untung ato rugi.bagi yg sdh survey mungkin tenang tenang aja.tp bagi kebanyakan org.survey nya liat laporan keuangannya.,"7 Dec 22, 09:23"
108,$PANI wkwkwkwk aman ngab?,"7 Dec 22, 09:08"
109,$PANI ezpez,"6 Dec 22, 21:04"
110,"$PANI catett , Senin n Selasa bad day 😭😭","6 Dec 22, 14:54"
111,"$PANI
Personal view , Disc on !!!","6 Dec 22, 14:52"
112,$PANI yuk bandar Telkom masuk ke pani,"6 Dec 22, 14:38"
113,$PANI mabuk laut lama2 qt ndar.. naik trun mlu ombknya..🤮,"6 Dec 22, 14:02"
114,"sudahkahh anda CutLoss Hari ini? $PANI

😂 😂 🤣 😂

sideways bikin mual ya? tarik dikit, trs banting, tariikkk trs banting... bobo aja...jgn liatin hrga $PANI tiap hari .. 😂 😂 😂","6 Dec 22, 13:55"
115,"VALUE INVESTING:
1.Pahami pengertian dan tujuan dalam berinvestasi
2.pahami dengan baik risikonya
3.pahami dengan kalimat istilahnya
4.screnning dgan teliti dan detail kategori layak serta memiliki fundamental yang baik ( pilih beberapa saja dan jangan membagi saldo RDN ke banyak emiten ) karna sangat tidak stabil.
5.tetapkan value and gain yang ingin dicapai
6.tetapkan target waktunya
7.persiapkan rencana alternatif, apabila terjadi situasi yang menyebabkan kurangnya optimal target gain.
8.jagalah kualitas psikologis dan jangan Fomo","6 Dec 22, 13:35 · Edited on 6 Dec 22, 13:36"
116,$PANI,"6 Dec 22, 13:16"
117,"Ayooo Ndar Banting $PANI nya, jangan sungkan2
Bikinin arb dong","6 Dec 22, 13:16"
118,"@CalmTrading..banyak....@KEEN ,@MEDC ,@PANI ,@CAKK","6 Dec 22, 11:40"
119,$PANI waduh😭kalo pekat merah kaya gini gajadi bikin rumah di Oman bang@MarlonSitorus😖,"6 Dec 22, 10:46"
120,"@ipunk1989 Wis Kaboten Pak, keberatan. Lelah Hayati ini . 😂 😂 penak ning $PANI thooo....? 😆 😂","6 Dec 22, 10:30"
121,$PANI ada Aguan yg ganjel di 980,"6 Dec 22, 09:41"
122,"$PANI om Aguan hari ini ulangtahun ku, kasih hadiah hijau pekat ya","6 Dec 22, 08:44"
123,$PANI 24 hari lagi kita akan sabar menunggu holder Pani,"6 Dec 22, 07:53"
124,$PANI tukang tipu itu akan selalu memcari pembenaran atas kerugian orang2,"5 Dec 22, 15:02"
125,$PANI catett Senin bad day 😭😭,"5 Dec 22, 14:49"
126,$PANI ayo bang @MarlonSitorus tarik donk sparing sama ko AGUAN,"5 Dec 22, 14:39"
127,$PANI avrg 950 ketar ketir,"5 Dec 22, 14:10"
128,$PANI bad day lagi 😭😭,"5 Dec 22, 14:08"
129,$PANI dibantai terus uangmu kok pasrah,"5 Dec 22, 14:01"
130,$PANI cugg merah,"5 Dec 22, 14:00"
131,Makin kesana makin kesini ya $PANI $AHAP $BBHI,"5 Dec 22, 11:15"
132,$PANI liat pani jd ngantuk.....mudah mudahan bangun tidur aka berita bagus,"5 Dec 22, 10:51"
133,"scalping tuhhh disini $BOSS volume sedang naik..

atauuu beli saham $GOTO dipasar nego, harga saham unlock karyawan cuma 2 perak. kite beli deh 3 perak. 😂🤣

gitu ya bocil scalper, jgn ikut kata org, $PANI utk buy and hold

DYOR
#gak ngajak jual beli","5 Dec 22, 10:04"
134,"bgmn scalper $PANI ? belum lelah? 😂 😆 belum habis modalnya? 😂 😂
klo scalper ulung gak akn mau ke volume yg gak nyampe 1 Milyar di jam 09.32

#tetapsemangat-menghabiskan modal. 😂 😂","5 Dec 22, 09:33"
135,$GOTO biadap emang wkwkwk….holder $BYAN $PANI $HRUM $INDY slow aja 😀😀😀😀…,"5 Dec 22, 09:17"
136,"$JIHD Aguan related-stock.
Apakah $PANI wannabe ?

que sera sera, i placed a bet on you.
saat ini analisa saya cuma berdasarkan transaksi.","5 Dec 22, 08:51"
137,$PANI investor mu menunggu terbitnya laporan keuangan Q3,"5 Dec 22, 08:14"
138,"$GOTO ARB 7x kayanya masih blm habis juga itu offer tebel x sampe masuk muri. Berasa main kripto aja 😁
$WIRG $PANI $BBCA $BUMI","4 Dec 22, 06:20 · Edited on 4 Dec 22, 18:04"
139,"$PANI segini banyak yang nonton dan bayar hampir 3 juta buat event 2 hari ini dan besok yaitu head in the clouds di community park PIK2...... selamat PIK 2 untuk event skala besar pertamanya...... minggu depan mulai Pokemon Run juga....... dibikin rame daerahnya biar orang beli properti nya.......

nanti pas sudah jadi mata elang international stadium......semua acara akan disana.......","3 Dec 22, 23:10 · Edited on 3 Dec 22, 23:11"
140,"@WillDjon semua saham yg ad nama bos aguan $INPC $JIHD semua anteng2, ap $PANI $PDPP akan menyusul ?

history repeat itself","3 Dec 22, 15:49"
141,ya harus dijual ini oasa kabur... sampah. kirain kyk $PANI. wlwk bandar Oasa kere,"3 Dec 22, 14:24 · Edited on 3 Dec 22, 14:40"
142,"$PANI belum tentu jadi backdoor PIK2. pantau PDPP, pelan-pelan bos Aguan akuisisi, yang kalau dia mau, bisa saja akuisisi 100% saham PPDP, toh uang kecil buat dia. Aneh aja sekaliber Aguan beli saham PDPP dikit-dikit dengan alasan investasi. pengusaha kakap masak investasi perusahaan ecek-ecek. saya curiga pasti ada kaitannya dengan next backdoor.","3 Dec 22, 12:49"
143,"$PANI nengok bentar ...ahh belum keluar juga LK nya , besok tengok lagi,, bikin gemesss kamu pani","3 Dec 22, 12:39"
144,@BimaAdiWiryo $PANI juga ada,"3 Dec 22, 06:33"
145,$PANI 3.minggu lagi menahan rasa rindu release nya LK q3,"2 Dec 22, 19:16"
146,$PANI senin selasa lanjut merah yuk,"2 Dec 22, 15:24"
147,$PANI pantauIDX sapa tau dah rilis laporannya,"2 Dec 22, 14:10"
148,"one of 9 Naga Masuk $PDPP

kira kira jadi the next $PANI ga ya?


$GOTO $BBCA $MDKA","2 Dec 22, 12:09"
149,$PANI yuk bisa yuk,"2 Dec 22, 10:04"
150,$PANI om Aguan tolong kami donk,"2 Dec 22, 09:34"
151,"$PANI volumenya skrg imuttt utk seukuran market cap > 5 T & lucunya msh ada yg nyoba scalping. jikalau volume $PANI lebih imutt lagi, bisa menyerupai $SOTS

JumatBerkah
Jalan-JalanDulu

🤣 😆","2 Dec 22, 09:28"
152,"$BSBK$PANI$RAFI satu aliran,,, isu di kerek akirnya di banting. 🤣🤣🤣🤣","2 Dec 22, 09:22"
153,$PANI galau cug 😭😭,"2 Dec 22, 09:21"
154,"$PANI hari Jumat pasti bad day , selalu begitu Jumat merah😭😭😭😭😭😭, mudah2 tidak terjadi tuk hari ini","2 Dec 22, 08:58"
155,$PANI di block sama si banci @falsecut wkwkwk...sekali banci tetap banci,"2 Dec 22, 08:38"
156,"$PANI pasrah besok , tiap jjumat merah 😭😭","1 Dec 22, 18:46"
